smiles,cid,Molecular_Weight,Hydrogen_bond_Acceptor,Hydrogen_bond_Donor,xlogP,Physiological_Charge,Polarized_Surface_Area,Number_of_Rotatable_bonds,BBB,,cid,,,cid
OCc1ccccc1,244,108.14,1,1,1.1,0,20.2,1,1,,11,,,297
CC(NC(C)(C)C)C(=O)c1cccc(c1)Cl,444,239.74,2,1,3.2,0,29.1,4,1,,180,,,298
NCCc1ccc(c(c1)O)O DOPAMINE,681,153.18,3,3,-1,0,66.5,2,0,,244,,,338
NC(=O)c1cccnc1,936,122.12,2,1,-0.4,0,56,1,1,,263,,,401
CN1CCCC1c1cccnc1,942,162.23,2,0,1.2,0,16.1,1,1,,297,,,444
[N-]=[N+]=O,948,44.013,2,0,0.5,0,19.1,0,1,,305,,,450
CC12NC(Cc3ccccc13)c1ccccc21,1207,221.3,1,1,2.8,0,12,0,1,,323,,,453
CCC12CCN(CC3(O)CC3)C(Cc3ccc(cc31)O)C2(C)C,1223,315.4,3,2,3.9,0,43.7,3,1,,338,,,596
CN1CCN(CC1)C1Cc2ccccc2Sc2ccc(cc12)Cl,1238,344.9,3,0,4.3,0,31.8,1,1,,356,,,598
O=C1NC(=O)C(N1)(c1ccccc1)c1ccccc1,1775,252.27,2,2,2.5,0,58.2,2,1,,598,,,681
CCCC(=O)Nc1ccc(c(c1)C(C)=O)OCC(O)CNC(C)C,1978,336.4,5,3,1.7,0,87.7,10,0,,681,,,815
CC(=O)Nc1ccc(cc1)O,1983,151.16,2,2,0.5,0,49.3,1,1,,702,,,838
CC(=O)Nc1ccc(cc1)OC(=O)c1ccccc1O,1984,271.27,4,2,2.6,0,75.6,4,1,,887,,,942
CC(=O)Nc1sc(nn1)S(N)(=O)=O,1986,222.3,7,2,-0.3,0,152,2,1,,936,,,951
CC(N)C(=O)OC(C)(C)Cc1ccc(cc1)Cl,2081,255.74,3,1,2.8,0,52.3,5,1,,962,,,1046
Cc1nnc2n1c1ccc(cc1C(=NC2)c1ccccc1)Cl,2118,308.8,3,0,2.1,0,43.1,1,1,,1031,,,1065
OC(=O)CN1C(=O)c2cccc3cccc(c23)C1=O,2120,255.22,4,1,1.7,0,74.7,2,1,,1046,,,1206
NC12CC3CC(CC(C3)C1)C2,2130,151.25,1,1,2.4,0,26,0,1,,1140,,,1546
CCN1C=C(C(O)=O)C(=O)c2ccc(nc12)Cc1ccccc1,2137,308.3,5,1,3,0,70.5,4,1,,1176,,,1690
CCC1(CCC(=O)NC1=O)c1ccc(cc1)N,2145,232.28,3,2,1.2,0,72.2,2,1,,1388,,,1775
CCCCc1oc2ccccc2c1C(=O)c1cc(c(c(c1)[I])OCCN(CC)CC)[I],2157,645.3,4,0,7.6,0,42.7,11,0,,1486,,,1971
CCN1CCCC1CNC(=O)c1cc(c(cc1OC)N)S(=O)(=O)CC,2159,369.5,6,2,1.5,0,110,7,1,,1775,,,1972
CN(C)CCC=C1c2ccccc2CCc2ccccc12,2160,277.4,1,0,5,0,3.2,3,1,,1935,,,1978
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,2164,226.27,3,2,2.1,0,75.3,4,1,,1983,,,1983
Clc1ccc2c(c1)C(=Nc1ccccc1O2)N1CCNCC1,2170,313.8,3,1,2.6,0,36.9,1,1,,1984,,,2022
COc1ccc(cc1)C(=O)N1CCCC1=O,2196,219.24,3,0,1.6,0,46.6,2,1,,1986,,,2082
CC(=O)Oc1ccccc1C(O)=O,2244,180.16,4,1,1.2,0,63.6,3,1,,2082,,,2083
COc1ccc(cc1)CCN1CCC(CC1)Nc1nc2ccccc2n1Cc1ccc(cc1)F,2247,458.6,5,1,6,0,42.3,8,0,,2116,,,2094
CCC1(CC)C(=O)NC(=O)NC1=O,2294,184.19,3,2,0.6,0,75.3,2,1,,2118,,,2118
CCC1(C)CC(=O)NC(=O)C1,2310,155.19,2,1,0.7,0,46.2,1,1,,2120,,,2130
NC(CO)C(=O)NNCc1ccc(c(c1O)O)O BENSERAZIDE,2327,257.24,7,7,-1.3,0,148,5,0,,2130,,,2141
CC(Cc1ccccc1)N(C)Cc1ccccc1,2341,239.35,1,0,4.1,0,3.2,5,1,,2137,,,2142
CCN(CC)C(=O)C1CN2CCc3cc(c(cc3C2CC1OC(C)=O)OC)OC,2342,404.5,6,0,2.1,0,68.3,7,1,,2140,,,2153
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,2351,366.5,3,0,5.3,0,15.7,10,0,,2141,,,2160
CNCCCCOc1ccccc1Cc1ccccc1,2377,269.4,2,1,4.1,0,21.3,8,1,,2145,,,2163
Brc1ccc2c(c1)C(=NCC(=O)N2)c1ccccn1,2441,316.15,3,1,1.7,0,54.4,1,1,,2153,,,2244
CN(C)CCOC(c1ccccc1)c1ccc(cc1)Br,2444,334.2,2,0,4,0,12.5,6,1,,2157,,,2249
CCN(CC)CCNC(=O)c1cc(c(cc1OC)N)Br,2446,344.25,4,2,2.8,0,67.6,7,1,,2160,,,2266
CC(C)C(Br)C(=O)NC(N)=O,2447,223.07,2,2,1.1,0,72.2,2,1,,2164,,,2269
OC1(CCN(CCCC(=O)c2ccc(cc2)F)CC1)c1ccc(cc1)Br,2448,420.3,4,1,3.3,0,40.5,6,1,,2170,,,2366
Cc1nnc2n1c1sc(cc1C(=NC2)c1ccccc1Cl)Br,2451,393.7,4,0,2.8,0,71.3,1,1,,2196,,,2370
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)c1ncccn1,2477,385.5,6,0,2.6,0,69.6,6,1,,2206,,,2431
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,2479,212.25,3,2,1.6,0,75.3,3,1,,2230,,,2443
CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,2481,224.26,3,2,1.7,0,75.3,4,1,,2244,,,2476
CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(Cc3c[nH]c4cccc2c34)N(CC=C)C1,2512,451.6,4,2,3.4,0,71.7,8,1,,2247,,,2478
COc1ccc(cc1OC)CCN(C)CCCC(C#N)(C(C)C)c1ccc(c(c1)OC)OC,2520,454.6,6,0,3.8,0,64,13,0,,2266,,,2519
CC(C)(CO)C(O)C(=O)NCCCC(O)=O,2527,233.26,5,4,-0.7,0,107,7,1,,2294,,,2520
NC(=O)N1c2ccccc2C=Cc2ccccc12,2554,236.27,1,1,2.5,0,46.3,0,1,,2310,,,2554
NC(=O)C1(CCN(CCCN2c3ccccc3CCc3ccccc23)CC1)N1CCCCC1,2580,446.6,4,1,4.5,0,52.8,6,1,,2337,,,2559
CCN(CC)C(=O)Nc1ccc(c(c1)C(C)=O)OCC(O)CNC(C)(C)C,2663,379.5,5,3,1.9,0,90.9,10,0,,2366,,,2563
CC(=O)OCC1=C(N2C(SC1)C(NC(=O)CCCC(N)C(O)=O)C2=O)C(O)=O CEPHALOSPORIN-C,2669,415.4,10,4,-4.4,0,202,10,0,,2370,,,2578
OC(=O)COCCN1CCN(CC1)C(c1ccccc1)c1ccc(cc1)Cl CETIRIZINE,2678,388.9,5,1,1.7,0,53,8,0,,2377,,,2583
OC(O)C(Cl)(Cl)Cl,2707,165.4,2,2,1,0,40.5,0,1,,2381,,,2650
CN1CCN(CC1)C(c1ccccc1)c1ccc(cc1)Cl,2710,300.8,2,0,4.5,0,6.5,3,1,,2431,,,2678
CNC1=Nc2ccc(cc2C(=[N+]([O-])C1)c1ccccc1)Cl,2712,299.75,3,1,2.4,0,48.2,1,1,,2441,,,2708
CN1C(c2ccc(cc2)Cl)S(=O)(=O)CCC1=O,2717,273.74,3,0,1.1,0,62.8,1,1,,2446,,,2719
CCN(CC)CCCC(C)Nc1ccnc2cc(ccc12)Cl,2719,319.9,3,1,4.6,0,28.2,8,0,,2448,,,2720
NC(=O)OCC(O)COc1ccc(cc1)Cl,2724,245.66,4,2,1.2,0,81.8,6,1,,2451,,,2726
CN(C)CCCN1c2ccccc2Sc2ccc(cc12)Cl,2726,318.9,3,0,5.2,0,31.8,4,1,,2477,,,2756
OC(=O)C1=CC(=O)c2ccccc2O1,2741,190.15,4,1,1.6,0,63.6,1,1,,2478,,,2764
CN\C(\NCCSCc1nc[nH]c1C)=N/C#N,2756,252.34,4,3,0.4,0,114,7,0,,2479,,,2789
CN(C)CCCC1(OCc2cc(ccc12)C#N)c1ccc(cc1)F,2771,324.4,4,0,3.2,0,36.3,5,1,,2481,,,2794
COc1cc(c(cc1C(=O)NC1CCN(CC1)Cc1ccccc1)Cl)N,2780,373.9,4,2,3.2,0,67.6,5,1,,2482,,,2801
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(ccc21)Cl,2789,300.74,2,0,2.1,0,40.6,1,1,,2487,,,2803
NC(=O)C1(CCN(CCCN2c3ccccc3CCc3ccc(cc23)Cl)CC1)N1CCCCC1,2793,481.1,4,1,5.4,0,52.8,6,1,,2519,,,2826
CC(C)\N=C1/C=C2N(c3ccc(cc3)Cl)c3ccccc3N=C2C=C/1Nc1ccc(cc1)Cl,2794,473.4,4,1,7.1,0,40,4,0,,2537,,,2828
CN(C)CCCN1c2ccccc2CCc2ccc(cc12)Cl,2801,314.9,2,0,5.2,0,6.5,4,1,,2554,,,2833
[O-][N+](=O)c1ccc2c(c1)C(=NCC(=O)N2)c1ccccc1Cl,2802,315.71,4,1,2.4,0,87.3,1,1,,2555,,,2958
CCc1sc2c(c1)C(=NCC(=O)N2C)c1ccccc1Cl,2811,318.8,3,0,3.5,0,60.9,2,1,,2563,,,2995
Clc1ccc2c(c1)C1(OCCN1CC(=O)N2)c1ccccc1Cl,2816,349.2,3,1,3.2,0,41.6,1,1,,2580,,,3007
CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,2895,275.4,1,0,5.2,0,3.2,3,1,,2707,,,3008
Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)N,2955,248.3,4,2,1,0,94.6,2,1,,2708,,,3016
CCCCN1C(=O)N(CCCC)c2ncn(c2C1=O)CC(C)=O,2984,320.39,4,0,1.9,0,75.5,8,1,,2720,,,3043
CNCCCN1c2ccccc2CCc2ccccc12,2995,266.4,2,1,4.9,0,15.3,4,1,,2726,,,3066
Clc1ccc2c(c1)C(=NCC(=O)N2)c1ccccc1,2997,270.71,2,1,2.9,0,41.5,1,1,,2727,,,3100
CC(N)Cc1ccccc1,3007,135.21,1,1,1.8,0,26,2,1,,2732,,,3117
CN1C(=O)CN=C(c2ccccc2)c2cc(ccc12)Cl,3016,284.74,2,0,3,0,32.7,1,1,,2733,,,3121
CC1(C)OC(=O)NC1=O,3081,129.11,3,1,0.1,0,55.4,0,1,,2741,,,3151
CN(C)CCOC(c1ccccc1)c1ccccc1,3100,255.35,2,0,3.3,0,12.5,6,1,,2764,,,3203
CNCC(O)c1ccc(c(c1)OC(=O)C(C)(C)C)OC(=O)C(C)(C)C DIPIVEFRINE,3105,351.4,6,2,2.9,0,84.9,9,0,,2780,,,3222
OCCN(CCO)c1nc(c2nc(nc(c2n1)N1CCCCC1)N(CCO)CCO)N1CCCCC1,3108,504.6,12,4,0.7,0,145,12,0,,2784,,,3226
CCN(CC)C(=S)SSC(=S)N(CC)CC,3117,296.5,4,0,3.9,0,121,7,1,,2789,,,3278
CCCC(CCC)C(O)=O,3121,144.21,2,1,2.8,0,37.3,5,1,,2793,,,3279
Clc1ccc2c(c1)NC(=O)N2C1CCN(CCCN2C(=O)Nc3ccccc23)CC1,3151,425.9,3,2,3.9,0,67.9,5,0,,2796,,,3291
COc1cc2c(cc1OC)C(=O)C(CC1CCN(CC1)Cc1ccccc1)C2,3152,379.5,4,0,4.3,0,38.8,6,1,,2797,,,3308
CCN1CC(CCN2CCOCC2)C(C1=O)(c1ccccc1)c1ccccc1,3156,378.5,3,0,3.3,0,32.8,6,1,,2801,,,3310
CN(C)CCOC(C)(c1ccccc1)c1ccccn1,3162,270.37,3,0,2.5,0,25.4,6,1,,2802,,,3325
Fc1ccc(cc1)C(=O)CCCN1CCC(=CC1)N1C(=O)Nc2ccccc12,3168,379.4,4,1,3.5,0,52.6,6,1,,2803,,,3345
FC(F)OC(F)(F)C(F)Cl,3226,184.49,6,0,2.1,0,9.2,3,1,,2811,,,3365
CCN1C=C(C(O)=O)C(=O)c2cc(c(nc12)N1CCNCC1)F,3229,320.32,8,2,-0.2,0,85.8,3,0,,2812,,,3366
Clc1ccc2c(c1)C(=NCc1nncn12)c1ccccc1,3261,294.74,3,0,1.7,0,43.1,1,1,,2816,,,3372
CCOC(=O)c1cnc2n(ncc2c1NN=C(C)C)CC,3277,289.33,6,1,2.1,0,81.4,6,1,,2895,,,3373
CCOCC,3283,74.12,1,0,0.9,0,9.2,2,1,,2942,,,3380
NC(=O)OC1(CCCCC1)C#C,3284,167.2,2,1,1.3,0,52.3,3,1,,2955,,,3386
CCN(CC)C(C)CN1c2ccccc2Sc2ccccc12,3290,312.5,3,0,4.8,0,31.8,5,1,,2972,,,3440
CCC1(C)CC(=O)NC1=O,3291,141.17,2,1,0.4,0,46.2,1,1,,2984,,,3446
CCN1C(=O)NC(C1=O)c1ccccc1,3292,204.22,2,1,1,0,49.4,2,1,,2995,,,3454
CCOC(=O)C1N=C(c2ccccc2F)c2cc(ccc2NC1=O)Cl,3299,360.8,5,1,2.9,0,67.8,4,1,,2997,,,3559
CCNCC(O)c1cccc(c1)O ETILEFRINE,3306,181.23,3,3,0.1,0,52.5,4,0,,3016,,,3639
CCc1sc2c(c1)C(=NCc1nnc(n12)C)c1ccccc1Cl,3307,342.8,4,0,2.6,0,71.3,2,1,,3042,,,3640
CC(=O)OCC(CCn1cnc2cnc(nc12)N)COC(C)=O,3324,321.33,8,1,0,0,122,9,1,,3081,,,3657
NC(=O)OCC(COC(N)=O)c1ccccc1,3331,238.24,4,2,0.6,0,105,7,1,,3100,,,3658
CCOC(=O)C1=C(C)NC(=C(C1c1cccc(c1Cl)Cl)C(=O)OC)C,3333,384.2,5,1,3.9,0,64.6,6,0,,3108,,,3661
CCC(=O)N(C1CCN(CC1)CCc1ccccc1)c1ccccc1,3345,336.5,2,0,4,0,23.6,6,1,,3117,,,3672
CC(C)(C(O)=O)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1,3348,501.7,5,3,3,0,81,10,0,,3121,,,3676
Clc1ccc(cc1)OCC(=O)N1CCN(CC1)Cc1ccc2c(c1)OCO2,3351,388.8,5,0,3.2,0,51.2,5,1,,3151,,,3696
CN1CCN(CC1)c1c(cc2c(c1F)N(CCF)C=C(C(O)=O)C2=O)F,3357,369.34,9,1,-0.1,0,64.1,4,0,,3156,,,3715
OC(Cn1cncn1)(Cn1cncn1)c1ccc(cc1F)F,3365,306.27,7,1,0.4,0,81.6,5,1,,3162,,,3746
NC1=NC(=O)NC=C1F,3366,129.09,3,2,-0.9,0,67.5,0,1,,3168,,,3763
CN1C(=O)CN=C(c2ccccc2F)c2cc(ccc21)Cl,3369,302.73,3,0,2.8,0,32.7,1,1,,3180,,,3767
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1,3372,437.5,8,1,4.4,0,55.2,6,1,,3191,,,3793
CN1C(=O)CN=C(c2ccccc2F)c2cc(ccc21)[N+]([O-])=O,3380,313.28,5,0,2.1,0,78.5,1,1,,3229,,,3823
CNCCC(Oc1ccc(cc1)C(F)(F)F)c1ccccc1,3386,309.33,5,1,4,0,21.3,6,1,,3261,,,3825
CCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1,3389,549.7,9,0,7.4,0,61.3,13,1,,3277,,,3826
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(ccc21)Cl,3393,387.9,4,0,3,0,35.9,6,1,,3278,,,3878
Fc1ccc(cc1)C(CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1)c1ccc(cc1)F,3396,475.6,5,1,5.6,0,35.6,7,1,,3282,,,3948
OCCN1C(=O)CN2CCOC2(c2ccccc2F)c2cc(ccc21)Cl,3398,376.8,5,1,2.2,0,53,3,1,,3283,,,3950
Fc1ccccc1C1=NCC(=O)N(CC2CC2)c2ccc(cc21)Cl,3400,342.8,3,0,3,0,32.7,3,1,,3291,,,3954
NCC1(CCCCC1)CC(O)=O,3446,171.24,3,2,-1.1,0,63.3,3,1,,3307,,,3957
Oc1noc2c1CCNC2,3448,140.14,3,2,-0.9,0,50.4,0,1,,3308,,,3958
CCC1(CCC(=O)NC1=O)c1ccccc1,3487,217.26,2,1,1.9,0,46.2,2,1,,3324,,,4046
COc1ccc(cc1C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1)Cl,3488,494,5,3,4.8,0,122,8,0,,3325,,,4057
OC1(CCN(CCCC(=O)c2ccc(cc2)F)CC1)c1ccc(cc1)Cl,3559,375.9,4,1,3.2,0,40.5,6,1,,3331,,,4058
FC(F)(F)C(Cl)Br,3562,197.38,3,0,2.3,0,0,0,1,,3345,,,4112
Fc1ccccc1C12OCCN2CC(=O)Nc2ccc(cc21)Br,3563,377.2,4,1,2.8,0,41.6,1,1,,3351,,,4171
CN1C(=O)NC(=O)C(C)(C1=O)C1=CCCCC1,3608,236.27,3,1,1.5,0,66.5,1,1,,3357,,,4173
CN1CCCN(CC1)C(c1ccccc1)c1ccc(cc1)Cl,3627,314.9,2,0,4.2,0,6.5,3,1,,3365,,,4184
CC(N)Cc1ccc(cc1)O HYDROXYAMPHETAMINE,3651,151.21,2,2,1.4,0,46.2,2,0,,3366,,,4192
Nc1c2ccccc2nc2c1C(O)CCC2,3655,214.26,3,2,1.4,0,59.1,0,1,,3369,,,4196
OCCOCCN1CCN(CC1)C(c1ccccc1)c1ccc(cc1)Cl,3658,374.9,4,1,3.7,0,35.9,8,1,,3372,,,4205
NNCCc1ccccc1,3675,136.19,2,2,1.2,0,38,3,1,,3373,,,4235
CCN(CC)CC(=O)Nc1c(cccc1C)C,3676,234.34,2,1,2.3,0,32.3,5,0,,3380,,,4253
CN(C)CCCN1c2ccccc2CCc2ccccc21,3696,280.4,2,0,4.8,0,6.5,4,1,,3385,,,4421
C1COC(CN1)COc1cccc2c1CC=C2,3704,231.29,3,1,1.9,0,30.5,3,1,,3389,,,4428
COc1ccc2n(c(c(c2c1)CC(O)=O)C)C(=O)c1ccc(cc1)Cl,3715,357.8,4,1,4.3,0,68.5,4,1,,3393,,,4451
CC(C)NNC(=O)c1ccncc1,3748,179.22,3,2,0.4,0,54,3,1,,3396,,,4463
Cc1onc(c1)C(=O)NNCc1ccccc1,3759,231.25,4,2,1.5,0,67.2,4,1,,3398,,,4539
FC(F)OC(Cl)C(F)(F)F,3763,184.49,6,0,2.1,0,9.2,2,1,,3400,,,4583
CC(C(O)=O)c1cccc(c1)C(=O)c1ccccc1,3825,254.28,3,1,3.1,0,54.4,4,1,,3415,,,4585
Nc1nnc(c(n1)N)c1cccc(c1Cl)Cl,3878,256.09,5,2,1.4,0,90.7,1,1,,3440,,,4594
COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,3916,328.5,4,0,4.7,0,41,5,1,,3446,,,4607
O=C1N(c2ccccc2)c2ccccc2C1(Cc1ccncc1)Cc1ccncc1,3932,391.5,3,0,4.1,0,46.1,5,1,,3448,,,4616
CCN(CC)C(=O)NC1CN(C)C2Cc3c[nH]c4cccc(c34)C2=C1,3938,338.4,2,2,2.7,0,51.4,3,1,,3469,,,4649
CN1C(CCCC1CC(=O)c1ccccc1)CC(O)c1ccccc1,3945,337.5,3,1,3.8,0,40.5,6,1,,3487,,,4730
CN(CCCN1c2ccccc2CCc2ccccc12)CC(=O)c1ccc(cc1)Cl,3947,419,3,0,6.8,0,23.6,7,1,,3494,,,4736
CCOC(=O)N1CCC(CC1)=C1c2ccc(cc2CCc2cccnc12)Cl,3957,382.9,3,0,5.2,0,42.4,2,1,,3518,,,4737
OC1N=C(c2ccccc2Cl)c2cc(ccc2NC1=O)Cl,3958,321.2,3,2,2.4,0,61.7,1,1,,3559,,,4739
CCCCc1nc(c(n1Cc1ccc(cc1)c1ccccc1c1[nH]nnn1)CO)Cl,3961,422.9,5,2,4.3,0,92.5,8,0,,3563,,,4748
CN1CCN(CC1)C1=Nc2ccccc2Oc2ccc(cc12)Cl,3964,327.8,3,0,3.1,0,28.1,1,1,,3608,,,4756
CNCCCC12CCC(c3ccccc31)c1ccccc21,4011,277.4,1,1,4.6,0,12,4,1,,3637,,,4763
OC1(N2CCN=C2c2ccccc12)c1ccc(cc1)Cl,4020,284.74,2,1,2.2,0,35.8,1,1,,3639,,,4811
CC1=NN(C(=O)C1)c1ccccc1,4021,174.2,2,0,1.3,0,32.7,1,1,,3647,,,4828
CN(C)CCOC(=O)COc1ccc(cc1)Cl,4039,257.71,4,0,2.5,0,38.8,7,1,,3657,,,4889
CN1CCN=C(c2ccccc2)c2cc(ccc21)Cl,4041,270.75,2,0,4.4,0,15.6,1,1,,3675,,,4891
CCN(CC)CCNC(=O)COc1ccc(cc1)OC,4045,280.36,4,1,2,0,50.8,9,1,,3676,,,4911
CC12CC3CC(C)(C1)CC(N)(C3)C2,4054,179.3,1,1,3.3,0,26,0,1,,3696,,,4914
CCOC(=O)C1(CCN(C)CC1)c1ccccc1,4058,247.33,3,0,2.5,0,29.5,4,1,,3715,,,4920
CCC1(NC(=O)N(C)C1=O)c1ccccc1,4060,218.25,2,1,1.5,0,49.4,2,1,,3746,,,4927
CCCC(C)(COC(N)=O)COC(N)=O,4064,218.25,4,2,0.7,0,105,8,1,,3748,,,4943
C1CN2CCC1C(C2)CN1c2ccccc2Sc2ccccc12,4066,322.5,3,0,4.6,0,31.8,2,1,,3759,,,4946
