Molecular_Weight,Hydrogen_bond_Acceptor,Hydrogen_bond_Donor,xlogP,Physiological_Charge,Polarized_Surface_Area,BBB
98.96,0,0,1.5,0,0,1
58.08,1,0,-0.1,0,17.1,1
108.14,1,1,1.1,0,20.2,1
74.12,1,1,0.9,0,20.2,1
16.043,0,0,0.6,0,0,1
323.13,5,3,1.1,0,115,1
104.17,1,1,-0.4,1,20.2,1
146.14,2,0,1.4,0,26.3,0
138.12,3,2,2.3,0,57.5,0
114.23,0,0,3.9,0,0,1
102.09,3,2,-1.5,0,64.4,1
239.74,2,1,3.2,0,29.1,1
272.4,2,2,4,0,40.5,1
182.17,6,6,-3.1,0,121,0
243.22,5,4,-2.1,0,129,1
142.2,4,2,-0.6,0,63.8,0
153.18,3,3,-1,0,66.5,0
46.07,1,1,-0.1,0,20.2,1
484.5,15,11,-6.9,0,283,0
183.2,4,4,-1.4,0,72.7,0
32.042,1,1,-0.5,0,20.2,1
122.12,2,1,-0.4,0,56,1
162.23,2,0,1.2,0,16.1,1
44.013,2,0,0.5,0,19.1,1
169.18,4,4,-1.2,0,86.7,0
18.015,1,1,-0.5,0,1,1
60.1,1,1,0.3,0,20.2,1
123.11,3,1,-0.6,0,68.9,1
324.4,4,1,2.9,0,45.6,1
92.14,0,0,2.7,0,0,1
60.056,1,2,-1.4,0,69.1,1
149.23,1,1,2.1,0,12,1
221.3,1,1,2.8,0,12,1
315.4,3,2,3.9,0,43.7,1
344.9,3,0,4.3,0,31.8,1
173.25,1,0,2.7,0,3.2,1
221.03,3,1,2.8,0,46.5,1
285.69,7,3,0.8,0,119,1
544.5,11,6,1.3,1,208,0
252.27,2,2,2.5,0,58.2,1
198.26,2,1,2.7,0,38.9,1
286.33,6,3,0.9,0,102,1
924.1,18,12,0,0,320,0
336.4,5,3,1.7,0,87.7,0
151.16,2,2,0.5,0,49.3,1
271.27,4,2,2.6,0,75.6,1
222.3,7,2,-0.3,0,152,1
225.2,4,3,-1.6,0,115,1
255.74,3,1,2.8,0,52.3,1
265.33,4,2,2.9,0,92.3,1
239.31,4,4,0.3,0,72.7,0
136.11,2,2,-0.5,0,65.8,1
430.7,2,1,10.7,0,29.5,1
308.8,3,0,2.1,0,43.1,1
255.22,4,1,1.7,0,74.7,1
151.25,1,1,2.4,0,26,1
308.3,5,1,3,0,70.5,1
613.91,4,3,1.8,0,95.5,0
214.23,6,4,-4.5,0,121,0
585.6,17,13,-7.9,0,332,1
232.28,3,2,1.2,0,72.2,1
180.16,3,1,0,0,69.3,1
645.3,4,0,7.6,0,42.7,0
369.5,6,2,1.5,0,110,1
277.4,1,0,5,0,3.2,1
225.26,3,1,2.3,-1,81.6,1
226.27,3,2,2.1,0,75.3,1
313.8,3,1,2.6,0,36.9,1
219.24,3,0,1.6,0,46.6,1
188.23,2,0,0.4,0,23.6,1
155.19,3,0,0.3,0,29.5,1
180.16,4,1,1.2,0,63.6,1
458.6,5,1,6,0,42.3,0
266.34,4,3,0.2,0,84.6,1
188.22,4,2,1.6,0,74.6,0
749,14,5,4,0,180,0
184.19,3,2,0.6,0,75.3,1
155.19,2,1,0.7,0,46.2,1
257.24,7,7,-1.3,0,148,0
165.19,3,1,1.9,0,52.3,1
239.35,1,0,4.1,0,3.2,1
404.5,6,0,2.1,0,68.3,1
366.5,3,0,5.3,0,15.7,0
136.19,2,1,0.4,0,24.9,1
161.22,2,1,0,1,52.3,0
269.4,2,1,4.1,0,21.3,1
311.5,2,1,4.3,0,23.5,1
243.16,0,0,2.8,1,0,0
316.15,3,1,1.7,0,54.4,1
654.6,6,3,3.8,0,118,0
334.2,2,0,4,0,12.5,1
344.25,4,2,2.8,0,67.6,1
223.07,2,2,1.1,0,72.2,1
420.3,4,1,3.3,0,40.5,1
393.7,4,0,2.8,0,71.3,1
467.6,5,2,5,0,62.2,1
385.5,6,0,2.6,0,69.6,1
246.3,6,0,-0.5,0,104,1
212.25,3,2,1.6,0,75.3,1
224.26,3,2,1.7,0,75.3,1
193.24,3,1,2.9,0,52.3,1
327.5,3,2,3.8,0,43.7,1
451.6,4,2,3.4,0,71.7,1
194.19,3,0,-0.1,0,58.4,1
454.6,6,0,3.8,0,64,0
233.26,5,4,-0.7,0,107,1
152.23,1,0,2.2,0,17.1,1
236.27,1,1,2.5,0,46.3,1
252.27,2,1,1.3,0,58.9,1
376.4,7,1,2.4,-2,155,1
226.23,6,5,-2.2,0,116,0
214.05,3,1,1.5,0,61.8,1
446.6,4,1,4.5,0,52.8,1
292.37,4,3,1,0,70.6,1
546.6,12,3,0.4,0,245,1
379.5,5,3,1.9,0,90.9,0
415.4,10,4,-4.4,0,202,0
388.9,5,1,1.7,0,53,0
165.4,2,2,1,0,40.5,1
304.2,3,1,1.7,0,40.5,0
300.8,2,0,4.5,0,6.5,1
299.75,3,1,2.4,0,48.2,1
273.74,3,0,1.1,0,62.8,1
319.9,3,1,4.6,0,28.2,0
295.7,6,2,-0.2,0,135,0
245.66,4,2,1.2,0,81.8,1
318.9,3,0,5.2,0,31.8,1
276.74,3,2,2.3,0,83.6,0
338.8,5,3,0.9,0,118,0
169.56,2,1,1.8,0,38.3,1
190.15,4,1,1.6,0,63.6,1
252.34,4,3,0.4,0,114,0
331.34,7,2,-1.1,0,72.9,0
324.4,4,0,3.2,0,36.3,1
373.9,4,2,3.2,0,67.6,1
352.4,3,1,3.3,1,46.5,0
300.74,2,0,2.1,0,40.6,1
481.1,4,1,5.4,0,52.8,1
473.4,4,1,7.1,0,40,0
242.7,3,0,3.3,0,35.5,0
214.64,3,1,2.6,0,46.5,0
314.9,2,0,5.2,0,6.5,1
315.71,4,1,2.4,0,87.3,1
230.09,1,2,1.6,0,36.4,1
318.8,3,0,3.5,0,60.9,1
344.8,1,0,5,0,17.8,0
349.2,3,1,3.2,0,41.6,1
303.35,5,0,2.3,0,55.8,1
299.4,4,1,1.1,0,41.9,1
399.4,6,1,1,0,83.1,0
275.4,1,0,5.2,0,3.2,1
182.18,5,2,-0.6,0,99.7,1
248.3,4,2,1,0,94.6,1
527.5,11,5,1.8,0,186,0
139.15,3,1,0.5,0,40.5,1
320.39,4,0,1.9,0,75.5,1
266.4,2,1,4.9,0,15.3,1
270.71,2,1,2.9,0,41.5,1
135.21,1,1,1.8,0,26,1
271.4,2,0,3.4,0,12.5,1
284.74,2,0,3,0,32.7,1
309.5,3,0,5.5,0,29.5,0
236.23,4,2,-1.2,0,88.7,0
583.7,6,3,2.4,0,118,0
129.11,3,1,0.1,0,55.4,1
255.35,2,0,3.3,0,12.5,1
351.4,6,2,2.9,0,84.9,0
504.6,12,4,0.7,0,145,0
296.5,4,0,3.9,0,121,1
144.21,2,1,2.8,0,37.3,1
425.9,3,2,3.9,0,67.9,0
379.5,4,0,4.3,0,38.8,1
378.5,3,0,3.3,0,32.8,1
270.37,3,0,2.5,0,25.4,1
379.4,4,1,3.5,0,52.6,1
289.4,3,0,3.6,0,29.5,0
469.7,3,0,7.2,0,29.5,0
315.67,5,1,4,0,38.3,0
376.4,6,2,-0.1,0,95.9,0
184.49,6,0,2.1,0,9.2,1
320.32,8,2,-0.2,0,85.8,0
294.74,3,0,1.7,0,43.1,1
289.33,6,1,2.1,0,81.4,1
303.13,4,1,3.8,0,63.6,0
204.31,4,4,-0.1,0,64.5,0
165.19,2,1,1.2,0,52.3,1
74.12,1,0,0.9,0,9.2,1
167.2,2,1,1.3,0,52.3,1
312.5,3,0,4.8,0,31.8,1
141.17,2,1,0.4,0,46.2,1
204.22,2,1,1,0,49.4,1
360.8,5,1,2.9,0,67.8,1
181.23,3,3,0.1,0,52.5,0
342.8,4,0,2.6,0,71.3,1
287.35,3,2,2.8,0,62.3,0
588.6,13,3,0.6,0,161,0
321.33,8,1,0,0,122,1
337.5,8,4,-0.6,0,238,1
238.24,4,2,0.6,0,105,1
384.2,5,1,3.9,0,64.6,0
336.5,2,0,4,0,23.6,1
501.7,5,3,3,0,81,0
388.8,5,0,3.2,0,51.2,1
369.34,9,1,-0.1,0,64.1,0
306.27,7,1,0.4,0,81.6,1
129.09,3,2,-0.9,0,67.5,1
302.73,3,0,2.8,0,32.7,1
437.5,8,1,4.4,0,55.2,1
303.29,5,0,1,0,64.4,1
313.28,5,0,2.1,0,78.5,1
130.08,3,2,-0.9,0,58.2,0
309.33,5,1,4,0,21.3,1
549.7,9,0,7.4,0,61.3,1
387.9,4,0,3,0,35.9,1
475.6,5,1,5.6,0,35.6,1
376.8,5,1,2.2,0,53,1
342.8,3,0,3,0,32.7,1
126.01,5,3,-2,0,94.8,1
330.74,7,3,2,0,131,0
171.24,3,2,-1.1,0,63.3,1
140.14,3,2,-0.9,0,50.4,1
255.23,5,4,-1.7,0,135,1
154.12,4,3,1.6,0,77.8,1
217.26,2,1,1.9,0,46.2,1
494,5,3,4.8,0,122,0
318.4,3,1,3.1,1,46.5,0
198.31,2,2,0.5,0,67.6,0
375.9,4,1,3.2,0,40.5,1
197.38,3,0,2.3,0,0,1
377.2,4,1,2.8,0,41.6,1
236.27,3,1,1.5,0,66.5,1
314.9,2,0,4.2,0,6.5,1
160.18,4,2,0.7,0,63.8,0
297.7,7,3,-0.1,0,135,0
362.5,5,3,1.6,0,94.8,0
331.3,10,3,0.4,0,135,0
151.21,2,2,1.4,0,46.2,0
214.26,3,2,1.4,0,59.1,1
76.055,2,3,-1.8,0,75.4,1
374.9,4,1,3.7,0,35.9,1
289.4,4,1,1.8,0,49.8,1
206.28,2,1,3.5,0,37.3,1
136.19,2,2,1.2,0,38,1
234.34,2,1,2.3,0,32.3,0
280.4,2,0,4.8,0,6.5,1
231.29,3,1,1.9,0,30.5,1
357.8,4,1,4.3,0,68.5,1
332.5,3,1,2.6,1,46.5,0
179.22,3,2,0.4,0,54,1
231.25,4,2,1.5,0,67.2,1
184.49,6,0,2.1,0,9.2,1
137.14,3,2,-0.7,0,68,1
60.1,1,1,0.3,0,20.2,1
705.6,9,0,5.7,0,101,0
237.72,2,1,2.2,0,29.1,1
531.4,6,0,4.3,0,69.1,0
254.28,3,1,3.1,0,54.4,1
255.27,3,1,1.9,0,59.3,0
189.17,4,2,1.3,0,66.4,1
256.09,5,2,1.4,0,90.7,1
328.5,4,0,4.7,0,41,1
391.5,3,0,4.1,0,46.1,1
338.4,2,2,2.7,0,51.4,1
337.5,3,1,3.8,0,40.5,1
419,3,0,6.8,0,23.6,1
351.35,8,2,-0.8,0,72.9,0
233.69,3,1,2.8,0,61.8,1
478,2,2,5,1,45,0
477,3,1,5,0,43.8,0
382.9,3,0,5.2,0,42.4,1
321.2,3,2,2.4,0,61.7,1
422.9,5,2,4.3,0,92.5,0
327.8,3,0,3.1,0,28.1,1
277.4,1,1,4.6,0,12,1
284.74,2,1,2.2,0,35.8,1
174.2,2,0,1.3,0,32.7,1
296.1,3,2,5.2,0,49.3,0
257.71,4,0,2.5,0,38.8,1
270.75,2,0,4.4,0,15.6,1
241.28,3,2,5.1,0,49.3,0
280.36,4,1,2,0,50.8,1
378.31,9,2,3.6,0,45.2,1
179.3,1,1,3.3,0,26,1
340.4,3,1,3.2,1,46.5,0
247.33,3,0,2.5,0,29.5,1
218.25,2,1,1.5,0,49.4,1
218.25,4,2,0.7,0,105,1
322.5,3,0,4.6,0,31.8,1
211.26,4,1,0.7,0,53.7,1
386.6,5,0,4.5,0,68.1,1
361.4,6,2,3,0,124,0
309.4,2,0,3.9,0,20.3,1
340.4,3,0,3.3,1,35.5,0
261.39,4,0,2.6,0,47.6,1
198.22,3,1,1.2,0,66.5,1
356.6,4,0,4.2,0,57.1,1
454.4,12,5,-1.8,0,211,0
164.96,3,0,2.2,0,9.2,1
211.21,5,4,-1.9,0,104,0
233.31,3,1,0.2,0,38.3,1
183.25,2,1,0.8,0,46.2,1
267.36,4,2,1.9,0,50.7,1
171.15,4,1,0,0,83.9,1
363.2,3,1,3.7,0,41.6,1
179.26,2,1,2.1,0,35.2,1
264.4,2,0,3.4,0,6.5,1
416.1,2,0,5.3,0,27,1
325.8,3,0,2.5,0,30.2,1
429.6,3,1,3.8,0,40.5,0
298.4,5,1,2,0,50.3,1
