smiles,cid,Molecular_Weight,Hydrogen_bond_Acceptor,Hydrogen_bond_Donor,xlogP,Physiological_Charge,Polarized_Surface_Area,Number_of_Rotatable_bonds,BBB
ClCCCl,11,98.96,0,0,1.5,0,0,1,1
CC(=O)C,180,58.08,1,0,-0.1,0,17.1,0,1
OCc1ccccc1,244,108.14,1,1,1.1,0,20.2,1,1
CCCCO,263,74.12,1,1,0.9,0,20.2,2,1
C,297,16.043,0,0,0.6,0,0,0,1
OCC[N+](C)(C)C,305,104.17,1,1,-0.4,1,20.2,2,1
O=c1ccc2c(o1)cccc2,323,146.14,2,0,1.4,0,26.3,0,0
OC(=O)c1ccccc1O,338,138.12,3,2,2.3,0,57.5,1,0
CCCCCCCC,356,114.23,0,0,3.9,0,0,5,1
SCCS(=O)(=O)O,598,142.2,4,2,-0.6,0,63.8,2,0
NCCc1ccc(c(c1)O)O,681,153.18,3,3,-1,0,66.5,2,0
CCO,702,46.07,1,1,-0.1,0,20.2,0,1
CO,887,32.042,1,1,-0.5,0,20.2,0,1
NC(=O)c1cccnc1,936,122.12,2,1,-0.4,0,56,1,1
O,962,18.015,1,1,-0.5,0,1,0,1
CCCO,1031,60.1,1,1,0.3,0,20.2,1,1
NC(=O)c1cnccn1,1046,123.11,3,1,-0.6,0,68.9,1,1
Cc1ccccc1,1140,92.14,0,0,2.7,0,0,0,1
NC(=O)N,1176,60.056,1,2,-1.4,0,69.1,0,1
CN1CCC(=CC1)c1ccccc1,1388,173.25,1,0,2.7,0,3.2,1,1
OC(=O)COc1ccc(cc1Cl)Cl,1486,221.03,3,1,2.8,0,46.5,3,1
O=C1NC(=O)NC1(c1ccccc1)c1ccccc1,1775,252.27,2,2,2.5,0,58.2,2,1
Nc1c2CCCCc2nc2c1cccc2,1935,198.26,2,1,2.7,0,38.9,0,1
CC(=O)Nc1ccc(cc1)O,1983,151.16,2,2,0.5,0,49.3,1,1
CC(=O)Nc1ccc(cc1)OC(=O)c1ccccc1O,1984,271.27,4,2,2.6,0,75.6,4,1
CC(=O)Nc1nnc(s1)S(=O)(=O)N,1986,222.3,7,2,-0.3,0,152,2,1
CCCSc1ccc2c(c1)[nH]/c(=N/C(=O)OC)/[nH]2,2082,265.33,4,2,2.9,0,92.3,5,1
CC(CCCC1(C)CCc2c(O1)c(C)c(c(c2C)O)C)CCCC(CCCC(C)C)C,2116,430.7,2,1,10.7,0,29.5,12,1
Clc1ccc2c(c1)C(=NCc1n2c(C)nn1)c1ccccc1,2118,308.8,3,0,2.1,0,43.1,1,1
OC(=O)Cn1c(=O)c2cccc3c2c(c1=O)ccc3,2120,255.22,4,1,1.7,0,74.7,2,1
NC12CC3C[C@H](C2)C[C@@H](C1)C3,2130,151.25,1,1,2.4,0,26,0,1
