seed,n_train,n_val,n_test,test_roc_auc,test_pr_auc,test_balanced_accuracy,test_f1,test_mcc,test_threshold,dataset,feature_set
0,1572,197,196,0.9013392857142857,0.9399936183547863,0.8374999999999999,0.9198606271777003,0.7042147167923564,0.44999999999999996,bbbp,raw
1,1573,197,195,0.8334888059701493,0.902502815789106,0.644647854477612,0.831081081081081,0.3977844987898516,0.475,bbbp,raw
2,1569,194,202,0.8262299394896081,0.9726357974375914,0.647329650092081,0.943089430894309,0.3541001782668001,0.32499999999999996,bbbp,raw
0,1572,197,196,0.9032525510204081,0.9440651998532544,0.8392857142857143,0.9154929577464789,0.6943375986180648,0.525,bbbp,raw+mpo_proxy
1,1573,197,195,0.8531366604477612,0.9147894287911427,0.6517607276119403,0.8287671232876712,0.3942112472572979,0.525,bbbp,raw+mpo_proxy
2,1569,194,202,0.8217574322546699,0.9685938484625816,0.6766640357800578,0.9513513513513514,0.4394652095132232,0.25,bbbp,raw+mpo_proxy
0,6302,750,753,0.8967641809575542,0.9342557884312912,0.7981880965313882,0.8751229105211407,0.6203498555851712,0.44999999999999996,b3db,raw
1,6244,780,781,0.861726872833911,0.8729857283312581,0.7701979472140763,0.8175965665236051,0.5551164483415119,0.5499999999999999,b3db,raw
2,6145,682,978,0.8014244650853448,0.8604868739018605,0.6965051179613795,0.8214548126377663,0.43392912817932083,0.49999999999999994,b3db,raw
0,6302,750,753,0.8986498021261737,0.9385773689966121,0.7977690696050284,0.871031746031746,0.6127547448286835,0.475,b3db,raw+mpo_proxy
1,6244,780,781,0.8598273793655026,0.8680830580173495,0.7753299120234605,0.8319502074688797,0.5812389562729083,0.49999999999999994,b3db,raw+mpo_proxy
2,6145,682,978,0.7883505450503596,0.8398392505777861,0.6937969488112754,0.821376281112738,0.43089623734352944,0.475,b3db,raw+mpo_proxy
