dataset,model,seed,n_parameters,best_epoch,epochs_run,train_seconds,val_roc_auc,test_roc_auc,test_pr_auc,test_accuracy,test_balanced_accuracy,test_f1,test_mcc,test_threshold,test_n,test_n_positive
b3db,gat,0,72705,41,71,64.9,0.8342139401637794,0.87777665317139,0.9110972406512736,0.7900128040973111,0.791889338731444,0.8127853881278538,0.5771571550347705,0.6731025576591492,781,456
b3db,gat,1,72705,41,71,62.9,0.933706452111112,0.8924758783187878,0.9094481931384939,0.7823303457106274,0.7917472916584396,0.7557471264367817,0.6063106607337915,0.8730112314224243,781,414
b3db,gat,2,72705,28,58,51.7,0.9324956379245146,0.881941234254016,0.9348680098700587,0.7964148527528809,0.7428131861782041,0.8547945205479452,0.5345391182606047,0.439830482006073,781,509
b3db,gcn,0,71937,31,61,41.8,0.8266904948514905,0.8719264507422403,0.9037756484496,0.7810499359795134,0.7833299595141701,0.8041237113402062,0.5599224460333666,0.7143324017524719,781,456
b3db,gcn,1,71937,20,50,34.7,0.9278007810489002,0.8820703181560899,0.9038225857421865,0.7823303457106274,0.7855605575958615,0.7809278350515464,0.5716104014098177,0.7429236769676208,781,414
b3db,gcn,2,71937,36,66,45.6,0.9337826989803026,0.8853215647752225,0.9369386342194911,0.7964148527528809,0.760787443661158,0.8490028490028491,0.5404884195498859,0.561676561832428,781,509
b3db,gin,0,121476,45,75,52.8,0.8558552471554823,0.8869163292847504,0.9167943958968041,0.7746478873239436,0.7738697705802969,0.801354401805869,0.5427632189435946,0.6007150411605835,781,456
b3db,gin,1,121476,40,70,47.8,0.9356590743614447,0.885028761731759,0.9014605691802466,0.7989756722151088,0.804354407718938,0.7903871829105474,0.6138368564994104,0.6561926603317261,781,414
b3db,gin,2,121476,14,44,30.2,0.9345257445382835,0.9019415231711545,0.9454014379451328,0.7976952624839949,0.7651934300242691,0.8489483747609943,0.5451977355712874,0.47988423705101013,781,509
b3db,sage,0,109697,33,63,40.0,0.8430819437312504,0.8891059379217275,0.9237069155054884,0.7900128040973111,0.7980769230769231,0.8066037735849056,0.587712080582612,0.7233083844184875,781,456
b3db,sage,1,109697,29,59,37.3,0.9422523920541881,0.895667969829799,0.9105176173121782,0.7797695262483995,0.7851557872290014,0.7700534759358288,0.5753318187766432,0.7185488939285278,781,414
b3db,sage,2,109697,47,77,48.3,0.933444347878008,0.8892255576100774,0.939128612781762,0.7720870678617158,0.6950479602450017,0.8444055944055944,0.4767069254379257,0.39426591992378235,781,509
bbbp,gat,0,72705,21,51,11.1,0.9194557823129251,0.9624695863746959,0.9834107002310081,0.883248730964467,0.8692214111922141,0.915129151291513,0.7286686892812555,0.7053396105766296,197,137
bbbp,gat,1,72705,24,54,12.0,0.9346578366445916,0.8835460992907802,0.9476516200857972,0.817258883248731,0.7850354609929078,0.8758620689655172,0.5358238024769676,0.7695815563201904,197,150
bbbp,gat,2,72705,49,79,17.5,0.935329861111111,0.9615278543849972,0.9872454530533632,0.883248730964467,0.9018201875344733,0.9175627240143369,0.7360088386897288,0.8888328671455383,197,148
bbbp,gcn,0,71937,18,48,8.6,0.9349659863945579,0.950669099756691,0.9768695192860188,0.8578680203045685,0.8603406326034063,0.8931297709923665,0.6887440917338972,0.7959539294242859,197,137
bbbp,gcn,1,71937,37,67,11.0,0.9250919793966152,0.9204255319148936,0.9715231433366841,0.8324873096446701,0.816950354609929,0.8850174216027874,0.5870564816026412,0.8879961371421814,197,150
bbbp,gcn,2,71937,35,65,10.6,0.9335937500000001,0.9362934362934362,0.9777610430482763,0.8629441624365483,0.8541781577495864,0.9052631578947369,0.6653417240936119,0.751514732837677,197,148
bbbp,gin,0,121476,7,37,6.3,0.9417687074829931,0.9428832116788322,0.973346501362991,0.7817258883248731,0.824330900243309,0.8200836820083682,0.5974373135930984,0.7263780832290649,197,137
bbbp,gin,1,121476,46,76,13.1,0.9369389256806476,0.8811347517730497,0.945028017004222,0.8274111675126904,0.8209219858156028,0.8802816901408451,0.5865450190913705,0.8727868795394897,197,150
bbbp,gin,2,121476,16,46,7.7,0.9332465277777776,0.9455322669608384,0.9787121373719445,0.817258883248731,0.8579012686155543,0.8646616541353384,0.6313462160283495,0.7609421610832214,197,148
bbbp,sage,0,109697,34,64,9.7,0.9338775510204081,0.9490875912408758,0.9783065474901667,0.7918781725888325,0.8456812652068126,0.825531914893617,0.6363720724456801,0.9651027917861938,197,137
bbbp,sage,1,109697,73,103,15.9,0.9440029433406917,0.9015602836879432,0.9637945240583057,0.8274111675126904,0.8209219858156028,0.8802816901408451,0.5865450190913705,0.8580578565597534,197,150
bbbp,sage,2,109697,38,68,10.6,0.93984375,0.937396580253723,0.9775002922308399,0.8730964467005076,0.8814120242691672,0.9110320284697508,0.7041050614506282,0.8816440105438232,197,148
