epoch,train_loss,val_auc,lr
1,0.32024580240249634,0.813061224489796,0.001
2,0.27489368515160245,0.8225850340136054,0.001
3,0.2538650435876604,0.8533333333333333,0.001
4,0.242383126501212,0.8740136054421769,0.001
5,0.23521504215611758,0.8650340136054422,0.001
6,0.22521359448821188,0.8723809523809524,0.001
7,0.21998127517657728,0.881904761904762,0.001
8,0.2103755527931922,0.8985034013605442,0.001
9,0.2005257168950622,0.8982312925170067,0.001
10,0.1927288457485859,0.896326530612245,0.001
11,0.19851395502951916,0.9194557823129252,0.001
12,0.1881263227256503,0.8745578231292518,0.001
13,0.18787705678369557,0.9080272108843537,0.001
14,0.18522733548518658,0.9099319727891158,0.001
15,0.16853968806697514,0.9126530612244899,0.001
16,0.18175382024914255,0.9137414965986396,0.001
17,0.16462023491774502,0.9221768707482993,0.001
18,0.17405470216092261,0.9208163265306123,0.001
19,0.1623904889321509,0.9268027210884354,0.001
20,0.16024648650305265,0.9159183673469388,0.001
21,0.16053285425097585,0.9268027210884354,0.001
22,0.15774824403927828,0.912108843537415,0.001
23,0.16257788593532474,0.9254421768707484,0.001
24,0.1482871583930712,0.9159183673469388,0.001
25,0.1567241373938762,0.9099319727891156,0.001
26,0.15559178495983433,0.9194557823129251,0.001
27,0.14544745153598204,0.9082993197278911,0.001
28,0.1571366186739531,0.9317006802721088,0.001
29,0.14456354853230274,0.9268027210884353,0.001
30,0.13483246618706457,0.9289795918367347,0.001
31,0.13575026053584563,0.9295238095238095,0.001
32,0.13332450241987942,0.9308843537414966,0.001
33,0.13924834750232504,0.9292517006802721,0.001
34,0.12584469476880614,0.9338775510204081,0.001
35,0.1229200716540407,0.9210884353741497,0.001
36,0.13012512767587908,0.9213605442176871,0.001
37,0.12826739035489906,0.9221768707482993,0.001
38,0.12798671748574453,0.9338775510204081,0.001
39,0.12108012848076323,0.9107482993197279,0.001
40,0.12480428883137594,0.9235374149659864,0.001
41,0.12233362796197411,0.9202721088435374,0.001
42,0.11563307319888631,0.9229931972789116,0.001
43,0.12301126986969518,0.9170068027210885,0.001
44,0.11948886781020929,0.9243537414965985,0.001
45,0.11196467778989073,0.9314285714285715,0.0005
46,0.10848839129807082,0.9235374149659864,0.0005
47,0.09893682436026993,0.9248979591836735,0.0005
48,0.10367244493415337,0.9257142857142857,0.0005
49,0.09477386041603622,0.9270748299319729,0.0005
50,0.101468607821234,0.9268027210884354,0.0005
51,0.10603585069567799,0.9257142857142857,0.0005
52,0.1010306390149296,0.9303401360544218,0.0005
53,0.09876336714693608,0.9229931972789116,0.0005
54,0.08662114432674024,0.9232653061224491,0.0005
55,0.09006490173533976,0.923265306122449,0.0005
56,0.09134989938966494,0.9197278911564626,0.00025
57,0.09247078234685287,0.9300680272108843,0.00025
58,0.09365442014150037,0.9262585034013606,0.00025
59,0.08979101858217904,0.9235374149659864,0.00025
60,0.09249788757802269,0.923265306122449,0.00025
61,0.0899039918305613,0.9257142857142857,0.00025
62,0.08353395333499399,0.9229931972789115,0.00025
63,0.08216164755912228,0.9216326530612245,0.00025
64,0.08928973912131088,0.9208163265306122,0.00025
