dataset,model,seed,n_parameters,best_epoch,epochs_run,train_seconds,test_roc_auc,test_pr_auc,test_balanced_accuracy,test_mcc
b3db,gat_edge,0,75777,9,39,145.1,0.8653475033738192,0.8974071059158707,0.7739811066126856,0.565972659086027
b3db,gat_edge,1,75777,51,81,293.5,0.8845055219892324,0.9014508570880744,0.8046045097342337,0.6094055844506111
b3db,gat_edge,2,75777,25,55,200.6,0.8742704842251242,0.9307976712164969,0.7258609730729226,0.4797688968699849
b3db,gine,0,123836,37,67,180.8,0.8989439946018893,0.9321666215731901,0.7856680161943319,0.5759243983938598
b3db,gine,1,123836,76,106,310.1,0.8880398583632798,0.8889964114425911,0.817889533888823,0.6350647301706988
b3db,gine,2,123836,14,44,135.6,0.8867300358257252,0.9340219058476271,0.7823406621980815,0.5703281953122843
b3db,sage_edge,0,112441,19,49,135.5,0.8843353576248313,0.9181886976136754,0.7943117408906882,0.5814295418465726
b3db,sage_edge,1,112441,70,100,260.5,0.8771472574339534,0.8838353803858204,0.7662665034421935,0.5382853587062479
b3db,sage_edge,2,112441,52,82,212.1,0.8978208424823761,0.9411106127101895,0.7425892753958165,0.5510313130688052
bbbp,gat_edge,0,75777,28,58,50.2,0.946654501216545,0.9768749478815042,0.877007299270073,0.7165512328341804
bbbp,gat_edge,1,75777,67,97,82.6,0.9109219858156028,0.9668902131532638,0.8328368794326242,0.5891620179311753
bbbp,gat_edge,2,75777,41,71,61.6,0.952426916712631,0.984547102103995,0.8881687810259239,0.7226312991742226
bbbp,gine,0,123836,14,44,29.5,0.9378953771289538,0.9701293033833698,0.8566909975669099,0.6798072316725396
bbbp,gine,1,123836,38,68,46.3,0.9400000000000001,0.9760606303361036,0.8668085106382979,0.6624549386115164
bbbp,gine,2,123836,20,50,34.1,0.9419470490899061,0.9778900355033129,0.8679674572531715,0.6606129004963962
bbbp,sage_edge,0,112441,21,51,30.7,0.9465328467153284,0.9756482445757686,0.8525547445255475,0.7018722893290366
bbbp,sage_edge,1,112441,31,61,37.7,0.8970212765957447,0.9549120475325977,0.799645390070922,0.5524561125375024
bbbp,sage_edge,2,112441,34,64,38.3,0.939464975179261,0.9797677858883684,0.8510755653612796,0.6220474465171736
