dataset,seed,method,kind,roc_auc,pr_auc,accuracy,balanced_accuracy,f1,mcc,threshold,n,n_positive
bbbp,0,gcn,single,0.950669099756691,0.9768695192860188,0.8578680203045685,0.8603406326034063,0.8931297709923665,0.6887440917338972,0.7959539294242859,197,137
bbbp,0,sage,single,0.9490875912408758,0.9783065474901667,0.7918781725888325,0.8456812652068126,0.825531914893617,0.6363720724456801,0.9651027917861938,197,137
bbbp,0,gin,single,0.9428832116788322,0.973346501362991,0.7817258883248731,0.824330900243309,0.8200836820083682,0.5974373135930984,0.7263780832290649,197,137
bbbp,0,gat,single,0.9624695863746959,0.9834107002310081,0.883248730964467,0.8692214111922141,0.915129151291513,0.7286686892812555,0.7053396105766296,197,137
bbbp,0,soft_vote,ensemble,0.9605231143552312,0.9820520296359551,0.8730964467005076,0.8666058394160584,0.9063670411985019,0.7122889469936473,0.7133665680885315,197,137
bbbp,0,rank_avg,ensemble,0.960705596107056,0.9823158789705709,0.8578680203045685,0.7666666666666666,0.9072847682119205,0.6654534415180996,0.1760204081632653,197,137
bbbp,0,stacking,ensemble,0.9605231143552311,0.9820343215914078,0.883248730964467,0.8177007299270074,0.9215017064846417,0.7203273247538088,0.5,197,137
bbbp,1,gcn,single,0.9204255319148936,0.9715231433366841,0.8324873096446701,0.816950354609929,0.8850174216027874,0.5870564816026412,0.8879961371421814,197,150
bbbp,1,sage,single,0.9015602836879432,0.9637945240583057,0.8274111675126904,0.8209219858156028,0.8802816901408451,0.5865450190913705,0.8580578565597534,197,150
bbbp,1,gin,single,0.8811347517730497,0.945028017004222,0.8274111675126904,0.8209219858156028,0.8802816901408451,0.5865450190913705,0.8727868795394897,197,150
bbbp,1,gat,single,0.8835460992907802,0.9476516200857972,0.817258883248731,0.7850354609929078,0.8758620689655172,0.5358238024769676,0.7695815563201904,197,150
bbbp,1,soft_vote,ensemble,0.9107801418439716,0.9652392645611793,0.8375634517766497,0.8421985815602837,0.8865248226950354,0.620381895322477,0.8595086932182312,197,150
bbbp,1,rank_avg,ensemble,0.9046808510638298,0.9623227794874912,0.8375634517766497,0.8275886524822695,0.8881118881118881,0.6039750967599345,0.33290816326530615,197,150
bbbp,1,stacking,ensemble,0.9086524822695037,0.9642180999307385,0.883248730964467,0.7772340425531915,0.9274447949526814,0.6577369634663619,0.5,197,150
bbbp,2,gcn,single,0.9362934362934362,0.9777610430482763,0.8629441624365483,0.8541781577495864,0.9052631578947369,0.6653417240936119,0.751514732837677,197,148
bbbp,2,sage,single,0.937396580253723,0.9775002922308399,0.8730964467005076,0.8814120242691672,0.9110320284697508,0.7041050614506282,0.8816440105438232,197,148
bbbp,2,gin,single,0.9455322669608384,0.9787121373719445,0.817258883248731,0.8579012686155543,0.8646616541353384,0.6313462160283495,0.7609421610832214,197,148
bbbp,2,gat,single,0.9615278543849972,0.9872454530533632,0.883248730964467,0.9018201875344733,0.9175627240143369,0.7360088386897288,0.8888328671455383,197,148
bbbp,2,soft_vote,ensemble,0.9476006618863761,0.9804569564709456,0.868020304568528,0.8780336458907887,0.9071428571428571,0.6950974643502875,0.7655713558197021,197,148
bbbp,2,rank_avg,ensemble,0.950634307777165,0.9824430977828184,0.8934010152284264,0.8880998345284059,0.926829268292683,0.7361748118818771,0.2971938775510204,197,148
bbbp,2,stacking,ensemble,0.9464975179260894,0.9798975775702297,0.8984771573604061,0.8368725868725868,0.9342105263157895,0.717414809288495,0.5,197,148
b3db,0,gcn,single,0.8719264507422403,0.9037756484496,0.7810499359795134,0.7833299595141701,0.8041237113402062,0.5599224460333666,0.7143324017524719,781,456
b3db,0,sage,single,0.8891059379217275,0.9237069155054884,0.7900128040973111,0.7980769230769231,0.8066037735849056,0.587712080582612,0.7233083844184875,781,456
b3db,0,gin,single,0.8869163292847504,0.9167943958968041,0.7746478873239436,0.7738697705802969,0.801354401805869,0.5427632189435946,0.6007150411605835,781,456
b3db,0,gat,single,0.87777665317139,0.9110972406512736,0.7900128040973111,0.791889338731444,0.8127853881278538,0.5771571550347705,0.6731025576591492,781,456
