dataset,model,seed,n_parameters,best_epoch,epochs_run,train_seconds,val_roc_auc,test_roc_auc,test_pr_auc,test_accuracy,test_balanced_accuracy,test_f1,test_mcc,test_threshold,test_n,test_n_positive
b3db,gat,0,73729,17,47,103.0,0.8382915326612794,0.8822908232118758,0.9132784974104,0.7989756722151088,0.8057523616734144,0.816374269005848,0.602984000054487,0.6209373474121094,781,456
b3db,gat,1,73729,32,62,137.8,0.9361628582565399,0.9010188366307309,0.916364875228283,0.8092189500640204,0.8152535902802458,0.7989203778677463,0.6378542254531709,0.6705775260925293,781,414
b3db,gat,2,73729,27,57,120.5,0.9432498955092183,0.9005330521206517,0.9383395695924412,0.8207426376440461,0.8222473419623252,0.8559670781893004,0.6249692177752516,0.5887380242347717,781,509
b3db,gcn,0,72961,34,64,106.4,0.8424873652063457,0.898640350877193,0.9274750408490942,0.8092189500640204,0.8180600539811066,0.8240850059031877,0.627108292402651,0.5973323583602905,781,456
b3db,gcn,1,72961,25,55,92.6,0.937722014253039,0.8904684805644407,0.9102911868286749,0.8104993597951344,0.8136772894206847,0.8097686375321337,0.6276644845968772,0.6100938320159912,781,414
b3db,gcn,2,72961,35,65,108.6,0.9409809528232415,0.8990812434993644,0.9409237248676181,0.8156209987195903,0.7840813879579337,0.8625954198473282,0.5853478862740132,0.437666654586792,781,509
b3db,gin,0,122500,45,75,139.9,0.856973460176752,0.9002024291497975,0.931161349773142,0.8053777208706786,0.7935560053981107,0.8382978723404255,0.5961343695145729,0.4406770169734955,781,456
b3db,gin,1,122500,27,57,103.8,0.9413257238675894,0.8921665416156591,0.905838619150697,0.8015364916773368,0.8066151983045715,0.7941567065073041,0.6175126983652603,0.47617775201797485,781,414
b3db,gin,2,122500,7,37,66.5,0.9445236878943284,0.9005691667629725,0.9434381953937353,0.8104993597951344,0.7998382064024038,0.8517034068136272,0.5904925937931428,0.4341246485710144,781,509
b3db,sage,0,110721,24,54,91.3,0.8479872165617146,0.8959143049932523,0.9262470866772426,0.7900128040973111,0.8078002699055331,0.7960199004975125,0.6105054196359943,0.6780147552490234,781,456
b3db,sage,1,110721,75,105,172.0,0.9448558883879652,0.9030130711211151,0.9167587687703684,0.8066581306017926,0.8117554528820967,0.799468791500664,0.6278649982251612,0.7316877841949463,781,414
b3db,sage,2,110721,31,61,98.6,0.9464410108073322,0.9083915982896105,0.9454146090053008,0.8399487836107554,0.7941862648792326,0.8850045998160073,0.6391220379596957,0.3501029908657074,781,509
bbbp,gat,0,73729,30,60,29.4,0.9219047619047618,0.9641727493917275,0.9834716742841423,0.9086294416243654,0.9108880778588808,0.9323308270676691,0.7954999067710589,0.6671507358551025,197,137
bbbp,gat,1,73729,19,49,24.2,0.9386313465783664,0.9458156028368794,0.9820430249832961,0.8730964467005076,0.8509219858156027,0.9146757679180887,0.6706103220533108,0.622985303401947,197,150
bbbp,gat,2,73729,45,75,38.7,0.9391493055555554,0.9725592939878654,0.9911614867119013,0.8883248730964467,0.898372862658577,0.9219858156028369,0.738458282521886,0.7369505763053894,197,148
bbbp,gcn,0,72961,17,47,24.2,0.9393197278911564,0.9507907542579075,0.9767253949803573,0.8934010152284264,0.8812043795620438,0.922509225092251,0.7523174095099882,0.6587492227554321,197,137
bbbp,gcn,1,72961,49,79,31.5,0.9353200883002206,0.9304964539007092,0.9761967837130758,0.8730964467005076,0.8290070921985815,0.9163879598662207,0.6533051189896678,0.7580540776252747,197,150
bbbp,gcn,2,72961,25,55,22.1,0.9341145833333333,0.9633204633204633,0.9879122431213133,0.8883248730964467,0.898372862658577,0.9219858156028369,0.738458282521886,0.6649831533432007,197,148
bbbp,gin,0,122500,8,38,15.4,0.9417687074829932,0.9352189781021898,0.9639519778355521,0.8730964467005076,0.8572384428223845,0.9077490774907749,0.7050199690525227,0.4439045786857605,197,137
bbbp,gin,1,122500,23,53,21.7,0.9550404709345108,0.9344680851063829,0.9786457925534446,0.7766497461928934,0.831418439716312,0.8320610687022901,0.5704042442404751,0.812594473361969,197,150
bbbp,gin,2,122500,15,45,18.6,0.9355034722222222,0.9579426365140651,0.9856731696817786,0.8781725888324873,0.8779646993932708,0.9154929577464789,0.7067661836147288,0.521038830280304,197,148
bbbp,sage,0,110721,23,53,20.7,0.9300680272108844,0.9681873479318734,0.9843010264563248,0.8883248730964467,0.8962895377128954,0.916030534351145,0.75745573221579,0.6276021599769592,197,137
bbbp,sage,1,110721,19,49,19.1,0.9403973509933775,0.945531914893617,0.981788127724651,0.8629441624365483,0.8661702127659574,0.9052631578947369,0.6721169339347677,0.6735491752624512,197,150
bbbp,sage,2,110721,57,87,34.0,0.933767361111111,0.960976282404854,0.9870964200141226,0.8477157360406091,0.891822945394374,0.8880597014925373,0.6942450193552823,0.923823893070221,197,148
