,,test_roc_auc,test_roc_auc,test_pr_auc,test_pr_auc,test_balanced_accuracy,test_balanced_accuracy,test_f1,test_f1,test_mcc,test_mcc
,,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,model,,,,,,,,,,
b3db,gat,0.8946,0.0107,0.9227,0.0137,0.8144,0.0083,0.8238,0.0292,0.6219,0.0176
b3db,gcn,0.8961,0.0049,0.9262,0.0154,0.8053,0.0185,0.8321,0.0273,0.6134,0.0243
b3db,gin,0.8976,0.0047,0.9268,0.0192,0.8,0.0065,0.8281,0.0301,0.6014,0.0143
b3db,sage,0.9024,0.0063,0.9295,0.0146,0.8046,0.0092,0.8268,0.0504,0.6258,0.0144
bbbp,gat,0.9608,0.0137,0.9856,0.0049,0.8867,0.0316,0.923,0.0089,0.7349,0.0625
bbbp,gcn,0.9482,0.0166,0.9803,0.0066,0.8695,0.0361,0.9203,0.0034,0.7147,0.0536
bbbp,gin,0.9425,0.0133,0.9761,0.0111,0.8555,0.0233,0.8851,0.0461,0.6607,0.0782
bbbp,sage,0.9582,0.0116,0.9844,0.0027,0.8848,0.0163,0.9031,0.0141,0.7079,0.0443
