dataset,source,model,test_roc_auc_mean,test_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_f1_mean,test_f1_std,test_mcc_mean,test_mcc_std,n_seeds
b3db,base_gnn,gat,0.8841,0.0076,0.9185,0.0142,0.7755,0.0283,0.8078,0.0497,0.5727,0.0361,3
b3db,base_gnn,gcn,0.8798,0.007,0.9148,0.0191,0.7766,0.0137,0.8114,0.0346,0.5573,0.0157,3
b3db,base_gnn,gin,0.8913,0.0093,0.9212,0.0223,0.7811,0.0206,0.8136,0.0311,0.5673,0.0403,3
b3db,base_gnn,sage,0.8913,0.0038,0.9245,0.0143,0.7594,0.0561,0.807,0.0372,0.5466,0.0608,3
b3db,dmpnn,dmpnn,0.8888,0.0095,0.9186,0.0126,0.7765,0.0261,0.8273,0.0316,0.5699,0.0279,3
b3db,edge_ablation,gat_edge,0.8747,0.0096,0.9099,0.0182,0.7681,0.0397,,,0.5517,0.066,3
b3db,edge_ablation,gine,0.8912,0.0067,0.9184,0.0255,0.7953,0.0196,,,0.5938,0.0359,3
b3db,edge_ablation,sage_edge,0.8864,0.0105,0.9144,0.0288,0.7677,0.0259,,,0.5569,0.0222,3
b3db,hybrid,gat,0.8946,0.0107,0.9227,0.0137,0.8144,0.0083,0.8238,0.0292,0.6219,0.0176,3
b3db,hybrid,gcn,0.8961,0.0049,0.9262,0.0154,0.8053,0.0185,0.8321,0.0273,0.6134,0.0243,3
b3db,hybrid,gin,0.8976,0.0047,0.9268,0.0192,0.8,0.0065,0.8281,0.0301,0.6014,0.0143,3
b3db,hybrid,sage,0.9024,0.0063,0.9295,0.0146,0.8046,0.0092,0.8268,0.0504,0.6258,0.0144,3
bbbp,base_gnn,gat,0.9358,0.0453,0.9728,0.0218,0.852,0.0603,0.9029,0.0234,0.6668,0.1135,3
bbbp,base_gnn,gcn,0.9358,0.0151,0.9754,0.0034,0.8438,0.0235,0.8945,0.0102,0.647,0.0533,3
bbbp,base_gnn,gin,0.9232,0.0364,0.9657,0.0181,0.8344,0.0204,0.855,0.0312,0.6051,0.0234,3
bbbp,base_gnn,sage,0.9293,0.0248,0.9732,0.0082,0.8493,0.0304,0.8723,0.0433,0.6423,0.059,3
bbbp,dmpnn,dmpnn,0.9425,0.0071,0.9783,0.0029,0.8679,0.0255,0.8992,0.0116,0.6813,0.0622,3
bbbp,edge_ablation,gat_edge,0.9367,0.0225,0.9761,0.0089,0.866,0.0293,,,0.6761,0.0754,3
bbbp,edge_ablation,gine,0.9399,0.002,0.9747,0.0041,0.8638,0.0062,,,0.6676,0.0106,3
bbbp,edge_ablation,sage_edge,0.9277,0.0268,0.9701,0.0133,0.8344,0.0301,,,0.6255,0.0748,3
bbbp,hybrid,gat,0.9608,0.0137,0.9856,0.0049,0.8867,0.0316,0.923,0.0089,0.7349,0.0625,3
bbbp,hybrid,gcn,0.9482,0.0166,0.9803,0.0066,0.8695,0.0361,0.9203,0.0034,0.7147,0.0536,3
bbbp,hybrid,gin,0.9425,0.0133,0.9761,0.0111,0.8555,0.0233,0.8851,0.0461,0.6607,0.0782,3
bbbp,hybrid,sage,0.9582,0.0116,0.9844,0.0027,0.8848,0.0163,0.9031,0.0141,0.7079,0.0443,3
